
🇨🇳港台电影,#genre#
龙祥时代,https://tv543.cc/Smart.php?id=lungxiangtime_twn
好莱坞电影,https://tv543.cc/Smart.php?id=hollywoodmovies_twn
Star Movies,https://tv543.cc/Smart.php?id=starmovies_raj
Hits,https://tv543.cc/Smart.php?id=Hits
Warner TV,https://tv543.cc/Smart.php?id=WarnerTV
SCM,https://tv543.cc/Smart.php?id=Weishimovie
Dream works,https://tv543.cc/Smart.php?id=Dreamworks
Hits Movie,https://tv543.cc/Smart.php?id=Hitsmovie
One,https://tv543.cc/Smart.php?id=One
tvN Movie,https://tv543.cc/Smart.php?id=Tvnmovie
Axn HD,https://tv543.cc/Smart.php?id=Axn
Astrol Kplus,https://tv543.cc/Smart.php?id=Kplus
 
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
天映经典,http://117.141.162.238:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0$广西/玉林/移动

私人影院,http://117.141.162.238:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$广西/玉林/移动
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
峨眉电影,http://117.174.25.254:8188/rtp/239.0.0.9:5140$四川移动
峨眉电影,http://183.223.157.33:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
峨眉电影,http://183.220.20.17:4321/udp/239.11.0.11:5140$四川移动


天映经典2,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://stream-ali1.csslcloud.net/live/ac4c7297da097fd79d944152e86f0262.flv
POPC,https://live.tvfix.org/live/popc/2/v4000000/index.m3u8
POPC,http://stream-ali1.csslcloud.net/live/e023faacde5c8d999d072e8e96778622.flv

天映经典2,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
美亚电影(香港),http://tl.061833.xyz/tl/null-5
美亚电影(香港),http://j.s.bkpcp.top/js/twmydy
天映经典2,https://tv543.cc/Smart.php?id=Celestial2
天映频道2,https://tv543.cc/Smart.php?id=Celestialindo
美亚电影(香港),http://bxtv.3a.ink/api.php?id=meiya
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8

天映频道,http://j.s.bkpcp.top/jj/celestialmovieshd
天映频道,http://j.s.bkpcp.top/jj/typd
天映经典2,http://j.s.bkpcp.top/jj/tyjd



东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv 
星影,http://stream-ali1.csslcloud.net/live/eZ15T2tea8ztrRlszHaTVfz0EB9nqz8GhiBZHNyMW0Glm43RZt.flv 
爆谷,http://stream-ali1.csslcloud.net/live/vhNli7a2uwqrSArlhBpDjs0wGlm43VLkMnb9OJ2Hzj14qlP0TO.flv 
天映经典,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://stream-ali1.csslcloud.net/live/ac4c7297da097fd79d944152e86f0262.flv
POPC,http://bxtv.3a.ink/api.php?id=popc 
美亚电影(香港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv
美亚电影,http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv

龙华经典,http://stream-ali1.csslcloud.net/live/FVXXIfMzo9JY3Yf51RmhP9Qdk6UoXnTswNRgQ7T0FJQDvC3XfN.flv
龙祥时代,https://tv543.cc/Smart.php?id=lungxiangtime_twn  

龙华洋片,http://stream-ali1.csslcloud.net/live/N1S4SjOnTnxegYsftAWGMMiu4K3MXkvMMm2bfd2yUYnVkPSxYt.flv
纬来电影,http://play.aipingke.net/live/76bd2526501177da3a3fd55e21d7b70a.flv
纬来电影,https://tv543.cc/Smart.php?id=videolandmovie
东森电影,https://tv543.cc/Smart.php?id=ettvmovie
东森洋片,https://tv543.cc/Smart.php?id=ettvwestern
美亚电影https://tv543.cc/Smart.php?id=meiyamovie_twn
CM+,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv#https://tv543.cc/Smart.php?id=Aodhd
星空卫视,http://stream-ali1.csslcloud.net/live/live/k64rsdGlshSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv
台湾戏剧,http://playjk.chinaxinge.com/live/d12c6fc09021d0c848c7ee59d8d25f1e.flv


东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv 
星影,http://stream-ali1.csslcloud.net/live/eZ15T2tea8ztrRlszHaTVfz0EB9nqz8GhiBZHNyMW0Glm43RZt.flv 
爆谷,http://stream-ali1.csslcloud.net/live/vhNli7a2uwqrSArlhBpDjs0wGlm43VLkMnb9OJ2Hzj14qlP0TO.flv 
天映经典2,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://stream-ali1.csslcloud.net/live/e3528cb96ddc9ba7bbe7b727cbb0ca92.flv
POPC,http://bxtv.3a.ink/api.php?id=popc 
美亚电影(香港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv
美亚电影,http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv
靖天电影,http://live.dktq4q.com/live/ea7c092614e739fbdcec9903593fb2b4.flv
龙华经典,http://applivewatermark.imfc.cn/live/27c08208db2fddec69467a079a419182.flv
龙祥时代,https://tv543.cc/Smart.php?id=lungxiangtime_twn  
龙华电影,http://applivewatermark.imfc.cn/live/c51e21ad068812c39b4a79c681f3a32d.flv
龙华洋片,http://stream-ali1.csslcloud.net/live/N1S4SjOnTnxegYsftAWGMMiu4K3MXkvMMm2bfd2yUYnVkPSxYt.flv
纬来电影,https://pili-hls.zhcw.com/live/0736058c6bc40988b54e22af92832c77.flv 
纬来电影,https://tv543.cc/Smart.php?id=videolandmovie
东森电影,https://tv543.cc/Smart.php?id=ettvmovie
东森洋片,https://tv543.cc/Smart.php?id=ettvwestern
美亚电影,https://tv543.cc/Smart.php?id=meiyamovie_twn
CM+,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv#https://tv543.cc/Smart.php?id=Aodhd
星空卫视,http://stream-ali1.csslcloud.net/live/live/k64rsdGlshSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv
HBOHD,https://tv543.cc/Smart.php?id=hbohd_twn
好莱坞电影,https://tv543.cc/Smart.php?id=hollywoodmovies_twn
FGM电影,http://live.dktq4q.com/live/a2bf2513c5f6a17b1bffcb48d4615276.flv
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网


CHC动作电影,http://111.26.109.81:9003/hls/65/index.m3u8$吉林移动酒店
CHC影迷电影,http://111.26.109.81:9003/hls/66/index.m3u8$吉林移动酒店
CHC家庭影院,http://111.26.109.81:9003/hls/67/index.m3u8$吉林移动酒店

CHC动作电影,http://58.21.83.106:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0$吉林联通酒店
CHC影迷电影,http://58.21.83.106:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0$吉林联通酒店
CHC家庭影院,http://58.21.83.106:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0$吉林联通酒店

CHC动作电影,http://36.135.118.195:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$吉林/移动
CHC影迷电影,http://36.135.118.195:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$吉林/移动
CHC家庭影院,http://36.135.118.195:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$吉林/移动

CHC动作电影,http://58.19.180.108:9981/stream/channelid/1782708396?profile=pass$襄阳/联通
CHC影迷电影,http://58.19.180.108:9981/stream/channelid/473633391?profile=pass$襄阳/联通
CHC家庭影院,http://58.19.180.108:9981/stream/channelid/2141017443?profile=pass$襄阳/联通



美亚电影,http://play-tc-transband.zego.im/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv
CHC动作电影,http://m.061899.xyz/mg/dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CHC家庭影院,http://m.061899.xyz/mg/jtyy
CHC动作电影,http://36.135.118.195:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$吉林/移动
CHC影迷电影,http://36.135.118.195:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$吉林/移动
CHC家庭影院,http://36.135.118.195:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$吉林/移动
CHC动作电影,http://58.19.180.108:9981/stream/channelid/1782708396?profile=pass$襄阳/联通
CHC影迷电影,http://58.19.180.108:9981/stream/channelid/473633391?profile=pass$襄阳/联通
CHC家庭影院,http://58.19.180.108:9981/stream/channelid/2141017443?profile=pass$襄阳/联通
CHC影迷电影,http://42.227.89.126:9003/hls/59/index.m3u8$河南/许昌/联通#http://182.150.115.26:5003/custom28.m3u8$成都/电信
CHC动作电影,http://42.227.89.126:9003/hls/60/index.m3u8$河南/许昌/联通
CHC家庭影院,http://42.227.89.126:9003/hls/61/index.m3u8$河南/许昌/联通
FGM电影,http://live.dktq4q.com/live/e421b8eac195613c232b7b1c3c49ad98.flv
澳门莲花,http://live-hdl.macaulotustv.com/lotustv/macaulotustv.m3u8
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
澳门莲花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1


澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
美亚电影,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=meiyamovie_twn
天映频道,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Celestial
天映经典2,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Celestial2

美亚电影,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=meiyamovie_twn
天映频道,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Celestial
天映经典,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Celestial2
爱奇艺,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Qiyi
龙华电影,https://jackcdn8.946985.qzz.io/live/lhdy/stream.m3u8
龙华洋片,https://jackcdn8.946985.qzz.io/live/lhyp/stream.m3u8

1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
天映经典,http://117.141.162.238:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0$广西/玉林/移动
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
CHC动作电影,http://113.195.172.192:808/hls/112/index.m3u8

CM+,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
千禧经典台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbclassic
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映经典2,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2

CM+,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
千禧经典台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbclassic
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映经典2,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
无线功夫,https://jackv2h.946985.qzz.io/live/yzwx/stream.m3u8

CHC家庭影院,http://61.184.46.85:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC动作电影,http://61.184.46.85:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC家庭影院,http://110.72.86.103:8181/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0$广西联通酒店
CHC动作电影,http://110.72.86.103:8181/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0$广西联通酒店
CHC影迷电影,http://110.72.86.103:8181/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0$广西联通酒店




星光视界,https://test.aldirect.rtmp.huya.com/live/zxcvbnm9852.flv
星光视界,http://data.3g.yy.com/live/hls/1353422557/1353422557
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd

 CHC家庭影院,http://110.72.55.103:8181/tsfile/live/1078_1.m3u8
 CHC动作电影,http://110.72.55.103:8181/tsfile/live/1079_1.m3u8
 CHC影迷电影,http://110.72.55.103:8181/tsfile/live/1080_1.m3u8
 CHC家庭影院,http://58.19.180.108:9981/stream/channelid/2141017443
 CHC动作电影,http://58.19.180.108:9981/stream/channelid/1782708396
 CHC家庭影院,http://120.198.101.106:9901/tsfile/live/1051_1.m3u8
 CHC影迷电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8
 CHC动作电影,http://120.198.101.106:9901/tsfile/live/1052_1.m3u8
重温经典,http://113.106.83.172:50433/tsfile/live/1012_1.m3u8
中国电影频道,http://113.95.144.12:9901/tsfile/live/1071_1.m3u8
星光视界,https://mursor.ottiptv.cc/yy/1353422557

CM+,http://php.jdshipin.com/TVOD/iptv.php?id=aod
 CM+,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
 1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
 搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
 澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
 天映经典,http://117.141.162.238:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0$广西/玉林/移动
 
 凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
 
1905电影网A,http://php.jdshipin.com/1905.php
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905电影网.php?id=1905
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905a
POPC,http://t.061899.xyz/tl/js/api.php?id=popc
POPC,http://tl.061833.xyz/tl/popc
POPC,https://fr-us7.jdiptv.cc/live/popc.m3u8

千禧经典台,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Tvbclassic
美亚电影,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=meiyamovie_twn
天映频道,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Celestial
天映经典,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Celestial2
爱奇艺,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=0QiQJxpYsTrGCAUjnrGAgrcQwiVCocHA6iYBSHFQ6bP4n5MQQS
CM+,http://php.jdshipin.com/smt.php?id=Aodhd
CM+,http://php.jdshipin.com:8880/smt.php?id=Aodhd
CM+,https://jacksmt.946985.qzz.io/smt3.2.1.php?id=Aodhd
CM+,http://php.jdshipin.com/smt.php?id=Aodhd


CHC动作电影,http://gat.bkpcp.top:80/ymg.php?id=dzdy
CHC家庭影院,http://gat.bkpcp.top:80/ymg.php?id=jtyy
CHC影迷电影,http://gat.bkpcp.top:80/ymg.php?id=ymdy


中国电影频道,http://tl.061833.xyz/tl/null-6
中国电影频道,http://t.061899.xyz/tl/js/api.php?id=zgdypd

美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亚电影(香港),http://t.061899.xyz/tl/js/api.php?id=mydyg
美亚电影(香港),http://t.061899.xyz/tl/js/api.php?id=mydyy
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
无线功夫,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx


TVB功夫(国),http://t.061899.xyz/tl/js/api.php?id=tvbgfty
无线功夫,http://t.061899.xyz/tl/js/api.php?id=tvbgftg
美亚电影(香港),http://pullsstx.peiyou.eaydu.com/live/hktv-mydyt018.flv 
POPC,http://pullsstx.peiyou.eaydu.com/live/hktv-PopCt018.flv 
Now剧集,http://t.061899.xyz/tl/js/api.php?id=nowhjt
TVB功夫(国),http://pullsstx.peiyou.eaydu.com/live/hktv-tvbgft018.flv
Eyetv戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=eyetvxiju_twn
重温经典,http://php.jdshipin.com/PLTV/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
美亚电影(香港),http://tl.061833.xyz/tl/null-5

黄金华剧频道,http://tl.061833.xyz/tl/null-9

黄金华剧频道,http://t.061899.xyz/tl/js/api.php?id=hjhjt
东森戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvdrama
东森电影,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvmovie
东森洋片,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvwestern
八大戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=badadrama
EYE戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=eyetvxiju_twn
ELTA影剧,https://pixman.mytvsuper.com.mp/Smart.php?id=eltadrama_twn
美亚电影,https://smart.946985.qzz.io/smart.php?id=meiyamovie_twn
天映经典,https://smart.946985.qzz.io/smart.php?id=Celestial2
天映频道,https://smart.946985.qzz.io/smart.php?id=Celestial
龙祥时代,https://smart.946985.qzz.io/smart.php?id=lungxiangtime_twn
美亚电影,https://pixman.mytvsuper.com.mp/Smart.php?id=meiyamovie_twn
天映频道,https://pixman.mytvsuper.com.mp/Smart.php?id=Celestial
龙祥时代,https://pixman.mytvsuper.com.mp/Smart.php?id=lungxiangtime_twn


黄金华剧频道,https://o11.163189.xyz/stream/tvb/hjhjt/
美亚电影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
重温经典,http://ygbh.site/php/bfgd.php?id=636
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
天映频道,https://smart.pendy.dpdns.org/Smart.php?id=ctv18_twn
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典2,http://php.jdshipin.com/smt.php?id=Celestial2

天映经典,http://tl.061833.xyz/tl/null-1
天映经典,https://live.tvfix.org/live/tyjd/1/v1000000/index.m3u8
天映经典2,http://t.061899.xyz/tl/js/api.php?id=tyjd

FGM电影,https://pullsstx.peiyou.eaydu.com/live/75f462f11abe2b995842c406f0302314.flv
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestia
天映经典2,http://php.jdshipin.com:8880/smt.php?id=Celestial2


天映频道,https://smt.1789.dpdns.org/smt3.2.1.php?id=Celestial
天映频道,https://smt.1789.dpdns.org/smt3.2.1.php?id=Celestial

天映经典2,http://fr-us7.jdiptv.cc/live/xgtyjdgy.m3u8?kdstime=1743869161&kdssign=daa66579226bc8372e650b17580b8864
天映经典2,http://fr-us7.jdiptv.cc/live/xgtyjdgy.m3u8?kdstime=1743859355&kdssign=2e11188ed5ffbd7cdf6dc9bff2624fde
天映经典2,http://tl.061833.xyz/tl/null-1
天映频道,http://t.061899.xyz/tl/168.php?id=typd
天映经典,http://t.061899.xyz/tl/168.php?id=tyjd
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya  
HBOFamily,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbofamily
HBOHD,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbo

HBOHits,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbohitshd

中国电影频道,http://tl.061833.xyz/tl/null-6
HBOHD,https://live.catvod.com/catvod_com.php?id=Hbo
HBOHits,https://live.catvod.com/catvod_com.php?id=Hbohitshd
HBOHD,https://smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
HBOFamily,https://smart.pendy.dpdns.org/Smart.php?id=fyi_twn
美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn


POPC,http://tl.061833.xyz/tl/popc
POPC,http://bxtv.3a.ink/api.php?id=popc

爆谷,http://t.061899.xyz/tl/js/api.php?id=nowbgt
星影,http://t.061899.xyz/tl/js/api.php?id=nowbgxyt

爆谷,http://j.s.bkpcp.top/js/nowbgt
星影,http://j.s.bkpcp.top/js/nowxyt
爆谷,http://j.s.bkpcp.top/js/nowbgt
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8

HBOHD,http://t.061899.xyz/tl/js/js.php?id=hbohd
FGM电影,http://t.061899.xyz/tl/js/js.php?id=ymswdyt
FGM电影,http://t.061899.xyz/tl/js/js.php?id=ymswdyt
好莱坞电影,http://61.216.11.93:49981/stream/channelid/286389561.m3u8

龙祥时代,https://pixman.mytvsuper.com.mp/Smart.php?id=lungxiangtime_twn
爆谷,http://t.061899.xyz/tl/js/api.php?id=nowbgt
星影,http://t.061899.xyz/tl/js/api.php?id=nowbgxyt


千禧经典,http://t.061899.xyz/tl/js/api.php?id=tvbqxjd
龙祥时代,http://pullsstx.peiyou.eaydu.com/live/hktv-lstitw.flv

龙祥时代,https://smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn
龙祥时代,https://smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn

东森电影,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvmovie
东森洋片,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvwestern
龙华洋片,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuawestern_twn

东森电影,http://bxtv.3a.ink/api.php?id=dsdy

八大第一,http://bxtv.3a.ink/api.php?id=bddy

八大第一,https://smart.pendy.dpdns.org/Smart.php?id=badafirst
八大综合,https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
八大戏剧,https://smart.pendy.dpdns.org/Smart.php?id=badadrama



中国电影频道(港),http://120.198.95.220:9901/tsfile/live/1071_1.m3u8?key=txiptv
经典影视台,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
经典剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
经典剧场,http://lxajh.top/tv/douyu.php?id=4246519
经典剧场,http://jiaojirentv.top/2020/dy.php?id=4246519
经典剧场,http://zzy789.xyz/douyu1.php?id=4246519
经典剧场,http://zzy789.xyz/douyu1.php?id=4246519
经典影视台,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
